ticker,one_day_num,one_day_sum,one_week_num,one_week_sum,one_month_num,one_month_sum,six_month_num,six_month_sum
AA,0,0,0,0,0,0,1,7000
ABG,0,0,0,0,0,0,1,588
ABR,0,0,0,0,0,0,1,59604
ACIW,0,0,0,0,0,0,1,99925
ACTG,0,0,0,0,0,0,1,754340
ADM,0,0,0,0,0,0,1,297551
ADT,0,0,0,0,0,0,2,1068277
AESE,0,0,0,0,0,0,1,1836150
AFG,0,0,0,0,0,0,1,240975
AGR,1,51,1,51,2,5106,3,1193438
AHCO,0,0,0,0,1,24640,2,290592
AIRG,0,0,0,0,0,0,2,109962
ALDX,0,0,0,0,1,15000000,1,37202668
ALRN,0,0,0,0,0,0,1,9900000
ALTM,0,0,1,12750,1,12750,1,12750
AMED,0,0,0,0,0,0,1,259376
AMRN,0,0,0,0,0,0,1,121518
AMSF,0,0,0,0,1,508720,1,508720
ANF,0,0,0,0,0,0,1,75104
ANTM,0,0,0,0,0,0,1,503251
APH,0,0,0,0,1,1318474,1,1318474
AQB,0,0,0,0,0,0,1,65000
ARAV,0,0,0,0,0,0,2,92240
ARDX,0,0,0,0,0,0,1,1000841
ARNA,0,0,0,0,0,0,1,678
ASB,0,0,0,0,1,638663,1,638663
ASRV,0,0,0,0,0,0,1,219
ATEX,0,0,0,0,0,0,4,7469122
ATNX,0,0,0,0,3,34991,3,84766
ATVI,0,0,1,187715,1,2089195,1,2089195
AVGO,0,0,0,0,0,0,1,89769
AVRO,0,0,0,0,0,0,1,23420
AWRE,0,0,1,35100,1,35100,1,35100
AXSM,0,0,1,29075,1,29075,1,29075
B,0,0,0,0,0,0,1,4227
BBBY,0,0,0,0,1,12774,3,596834
BCBP,0,0,0,0,0,0,3,31957
BCOV,0,0,0,0,0,0,1,44220
BDSI,0,0,0,0,2,1009880,2,1009880
BFC,0,0,0,0,0,0,1,192746
BH,0,0,0,0,1,3413845,2,7861873
BICX,0,0,0,0,0,0,1,1127880
BKEP,0,0,0,0,0,0,2,56474
BLFS,0,0,0,0,0,0,1,36000000
BMRC,0,0,0,0,1,178788,1,178788
BNED,0,0,0,0,0,0,1,236340
BOTJ,0,0,0,0,5,51422,6,92444
BRG,0,0,0,0,0,0,3,218196
BSGM,0,0,0,0,0,0,2,35559
BSRR,0,0,0,0,0,0,3,148658
BUSE,0,0,0,0,0,0,1,0
BXC,0,0,0,0,1,55880,1,55880
CABO,0,0,1,1035498,1,1035498,1,1035498
CALX,0,0,0,0,0,0,1,714954
CAR,0,0,1,10003690,1,10003690,3,23212040
CATC,0,0,0,0,0,0,1,5484
CBFV,0,0,0,0,0,0,3,77918
CCB,0,0,0,0,0,0,1,9573
CCNE,0,0,0,0,1,10084,4,45047
CDLX,0,0,0,0,0,0,1,240
CECE,0,0,0,0,3,33940,3,33940
CERC,0,0,1,392460,1,392460,4,7198324
CFR,0,0,0,0,0,0,1,324485
CHD,0,0,0,0,0,0,1,874630
CHRA,0,0,0,0,0,0,2,21743
CIDM,0,0,0,0,0,0,1,112887
CIX,0,0,0,0,0,0,1,49349
CLDB,0,0,0,0,8,8333,8,50012
CLPR,0,0,0,0,0,0,2,39990
CLW,0,0,0,0,0,0,1,107300
CMCT,0,0,0,0,0,0,4,9674000
CMTL,0,0,0,0,0,0,1,68640
CNNE,0,0,2,395451,2,395451,2,1467337
CNX,0,0,0,0,0,0,3,674918
COHN,0,0,0,0,0,0,1,166400
CORT,0,0,0,0,0,0,1,103386
CPLG,0,0,0,0,1,10070,1,10070
CQP,0,0,0,0,0,0,3,12950530
CREE,0,0,0,0,0,0,1,105770
CRNX,0,0,0,0,0,0,2,5064996
CRVS,0,0,0,0,1,99999,3,9449997
CSII,0,0,0,0,4,155165,4,155165
CTBI,0,0,0,0,1,22142,1,22142
CTO,0,0,1,50954,1,204402,2,254502
CUE,0,0,0,0,0,0,2,123756
CVCY,0,0,0,0,0,0,2,102647
CVX,0,0,0,0,0,0,1,304684
CYAN,0,0,0,0,0,0,1,107960
CZFS,0,0,0,0,0,0,1,77770
DBD,0,0,0,0,0,0,1,15350
DD,0,0,0,0,0,0,1,524549
DFFN,0,0,1,19999,1,19999,1,19999
DHIL,0,0,0,0,0,0,3,510376
DK,0,0,0,0,0,0,1,186142
DMAC,0,0,0,0,0,0,1,53697
DOOR,0,0,0,0,1,1246575,2,1353575
DRIO,0,0,0,0,0,0,2,0
DTE,0,0,0,0,0,0,1,49991
DVCR,0,0,0,0,0,0,1,637518
DYNT,0,0,0,0,0,0,5,0
EBF,0,0,1,4280,1,4280,1,4280
ECOR,0,0,0,0,0,0,1,8600
EDSA,0,0,0,0,0,0,2,59715
EGLE,0,0,0,0,0,0,2,18972505
EIX,0,0,0,0,0,0,1,15557
EMCF,1,4791,1,4791,3,746013,5,782953
EMYB,0,0,0,0,0,0,3,7700
ENR,0,0,0,0,0,0,2,231222
EPD,1,120895,1,120895,1,120895,2,15613915
EPRT,0,0,0,0,0,0,1,9945
ESCA,0,0,0,0,0,0,1,388143
ESOA,0,0,0,0,0,0,4,526538
ESSA,0,0,1,30872,1,30872,1,45119
EVER,0,0,0,0,0,0,1,33325
EVLO,0,0,0,0,0,0,2,2001261
EXTN,0,0,1,94000,4,4121398,4,4121398
EZPW,0,0,0,0,1,5753,1,30351
FBC,0,0,0,0,0,0,1,94818
FCBP,0,0,0,0,0,0,8,336173
FEIM,0,0,0,0,0,0,1,493992
FFBC,0,0,0,0,0,0,7,59339
FIBK,0,0,0,0,0,0,1,69398
FKWL,0,0,0,0,0,0,1,3731
FLXS,0,0,0,0,0,0,2,322078
FMBI,0,0,0,0,0,0,1,25000
FNB,0,0,0,0,1,10688,2,43193
FOLD,0,0,0,0,1,15315,1,147557
FPH,0,0,0,0,0,0,1,2178980
FRME,0,0,0,0,1,500,2,10616
FSEA,0,0,0,0,0,0,1,17024
FTAI,0,0,0,0,0,0,1,20000000
FUNC,0,0,1,3996,5,15562,6,87413
FXNC,0,0,0,0,0,0,1,251646
GBT,0,0,0,0,1,18980,1,18980
GCI,0,0,0,0,1,89200,1,89200
GEF,0,0,0,0,0,0,2,3545560
GHL,0,0,0,0,1,673756,2,1236139
GLAE,0,0,0,0,0,0,1,0
GLPI,0,0,0,0,1,46210,1,46210
GME,0,0,0,0,0,0,1,19025878
GNTY,0,0,0,0,0,0,2,1002575
GORO,0,0,0,0,0,0,3,210293
GPRO,0,0,1,91121,2,191428,2,191428
GRNQ,0,0,0,0,0,0,2,9426
GSBC,0,0,0,0,1,1452,1,1452
GTE,0,0,0,0,0,0,1,78000
GTYH,0,0,0,0,0,0,4,13933418
HASI,0,0,0,0,0,0,1,55210
HBB,0,0,0,0,1,162580,21,3518053
HCHC,0,0,0,0,2,2757237,2,21158012
HEI,0,0,0,0,0,0,1,125031
HFBL,0,0,0,0,0,0,1,37480
HIL,0,0,1,24477,1,24477,1,24477
HMG,0,0,0,0,0,0,1,30600
HOG,0,0,0,0,0,0,2,1024947
HQI,0,0,0,0,0,0,2,168562
HR,0,0,0,0,0,0,1,57780
HSIC,0,0,0,0,0,0,2,113981
HTLD,0,0,0,0,1,18430,1,18430
HVBC,0,0,0,0,2,24516,5,351175
HY,0,0,0,0,0,0,20,38049916
IBM,0,0,0,0,0,0,1,7891
ICPT,0,0,0,0,0,0,1,5016252
IDN,0,0,0,0,1,7376,1,7376
IFF,0,0,1,140386,1,140386,1,140386
IHRT,0,0,0,0,0,0,1,200778
IMAC,0,0,0,0,0,0,1,1230
IMUX,0,0,1,51000,1,51000,3,222973
INSM,0,0,0,0,0,0,1,99999
INTZ,0,0,0,0,0,0,1,112800
IPG,0,0,0,0,0,0,1,75010
IROQ,0,0,0,0,1,4539,1,4539
ISIG,0,0,0,0,1,174710,1,174710
IVDN,0,0,0,0,0,0,3,36000
JKHY,0,0,0,0,0,0,1,1391500
JPM,0,0,0,0,1,101059,1,101059
KBAL,0,0,1,129820,1,129820,1,129820
KDP,0,0,0,0,1,118996,3,2460683
KFS,0,0,2,3579,2,7158,4,1292454
KKR,0,0,0,0,0,0,1,1251479
KMPR,0,0,0,0,0,0,2,178232
KPTI,0,0,0,0,2,231272,2,231272
KRMD,0,0,1,107500,1,107500,5,381258
KW,0,0,0,0,0,0,2,1977500
LARK,0,0,0,0,0,0,1,5100
LC,0,0,1,18188,1,99025,1,99025
LEU,0,0,0,0,0,0,1,0
LEVL,0,0,0,0,0,0,1,3938
LIN,0,0,0,0,0,0,1,121248
LIVX,0,0,0,0,0,0,5,314212
LMB,0,0,0,0,0,0,1,40010
LNTH,0,0,0,0,0,0,1,141200
LOV,0,0,0,0,0,0,2,1184642
LPTH,0,0,1,5060,1,5060,2,11110
LSYN,0,0,0,0,0,0,4,433929
LXRX,0,0,0,0,0,0,2,70000000
LZB,0,0,0,0,0,0,1,48573
MASI,0,0,0,0,1,338820,1,338820
MAXR,0,0,0,0,2,151321,2,204898
MCB,0,0,0,0,0,0,1,5121
MDLZ,0,0,0,0,0,0,1,116840
MED,0,0,0,0,1,40421,1,72437
MG,0,0,0,0,1,149700,1,296700
MGPI,0,0,0,0,0,0,1,1231
MHLD,0,0,1,50002,1,50002,1,50002
MITT,0,0,1,74600,1,74600,1,74600
MLI,0,0,0,0,0,0,1,14828
MNKD,0,0,0,0,0,0,4,125511
MNSB,0,0,0,0,0,0,1,6834
MORF,0,0,0,0,0,0,3,7260514
MPB,0,0,0,0,16,943925,20,1009049
MRKR,0,0,0,0,0,0,14,106249988
MRUS,0,0,0,0,0,0,1,36957355
MSM,0,0,0,0,0,0,1,5290780
MTEM,0,0,0,0,1,329941,1,37049479
MUX,0,0,0,0,0,0,1,20600
MWA,0,0,0,0,0,0,1,129925
NANX,0,0,0,0,0,0,1,52492
NAVB,0,0,0,0,1,16000,1,105505
NC,0,0,0,0,0,0,20,998436
NEN,0,0,0,0,0,0,1,137625
NFBK,0,0,1,30133,2,46593,2,96612
NFE,0,0,0,0,2,996000,2,996000
NHI,0,0,0,0,0,0,1,135500
NKSH,0,0,0,0,0,0,2,48731
NOG,0,0,0,0,0,0,2,5243755
NPO,1,199780,2,220357,2,220357,3,428770
NSA,0,0,0,0,0,0,1,13304
NTAP,0,0,0,0,0,0,2,1458799
NTWK,0,0,1,37020,1,37020,1,140975
NVDA,0,0,0,0,0,0,1,107389
NWBI,0,0,1,138803,1,138803,2,502671
NYCB,0,0,0,0,0,0,1,53169
OCFC,0,0,0,0,0,0,1,9839
OFC,0,0,0,0,0,0,1,108917
OLED,0,0,0,0,0,0,1,476955
OMCL,0,0,0,0,1,5919,1,5919
ONTX,0,0,0,0,0,0,5,135640
OPOF,0,0,0,0,0,0,5,55901
ORCL,0,0,0,0,0,0,1,688966
OSPN,0,0,0,0,0,0,1,6603438
OTLK,0,0,0,0,3,54700,5,11414700
PACW,0,0,0,0,1,26106,1,26106
PAVM,0,0,0,0,0,0,1,32324
PAYS,0,0,1,78250,1,78250,1,78250
PCB,0,0,0,0,0,0,2,525188
PDCE,0,0,0,0,0,0,1,46575
PEI,0,0,0,0,1,10894,2,12679
PFIS,0,0,0,0,2,60139,3,216116
PFSI,0,0,2,64822052,2,99427058,2,295835056
PHIO,0,0,0,0,0,0,2,14723
PKBK,0,0,0,0,1,19440,1,50616
PLMR,0,0,0,0,1,23189,2,73439
PLPC,0,0,0,0,2,2128,2,4065
PMD,0,0,0,0,0,0,2,9950
POOL,0,0,0,0,0,0,1,158016
PPBI,0,0,0,0,0,0,1,19220
PRFT,0,0,0,0,0,0,2,65358
PRPL,0,0,0,0,0,0,1,299600
PRTY,0,0,0,0,0,0,1,4581601
PSTI,0,0,0,0,0,0,1,194000
PTSI,0,0,0,0,1,115940,1,166940
PURE,0,0,0,0,0,0,1,52248
PXLW,0,0,0,0,0,0,1,7803
QDEL,0,0,0,0,0,0,1,826500
QRTEA,0,0,0,0,1,171314,1,621223
QUMU,0,0,1,19239,1,19239,5,146490
RAVE,0,0,0,0,0,0,2,35367
RCII,0,0,0,0,1,14807,1,1521097
RDI,0,0,0,0,0,0,2,15973
REI,0,0,0,0,0,0,1,790975
RES,0,0,0,0,1,10260,3,85605
RFIL,0,0,0,0,0,0,1,327849
RIBT,0,0,0,0,2,15637,2,33483
RMBL,0,0,0,0,0,0,1,57337
ROCK,0,0,0,0,0,0,1,50026
RRBI,0,0,0,0,1,28355,1,62339
RSG,0,0,0,0,0,0,1,999895
RVI,0,0,0,0,0,0,1,14630
RYAM,0,0,0,0,2,319562,2,319562
SAIC,0,0,0,0,0,0,1,252930
SASR,0,0,0,0,0,0,1,1981
SBH,0,0,0,0,0,0,1,145250
SCHW,0,0,0,0,0,0,1,196642
SCX,0,0,0,0,0,0,1,75951
SEAC,0,0,0,0,1,104000,1,104000
SHBI,0,0,0,0,0,0,1,6960
SIVB,0,0,0,0,0,0,1,261650
SLCA,0,0,0,0,2,334883,2,491392
SLCT,0,0,0,0,0,0,2,57664
SMHI,0,0,0,0,0,0,1,88737
SNDX,0,0,0,0,2,204807,2,204807
SNGX,0,0,1,2664,1,2664,1,2664
SOFO,0,0,0,0,0,0,2,69975
SONO,0,0,0,0,0,0,1,2004345
SPLP,0,0,0,0,0,0,4,3780825
SRCE,0,0,0,0,0,0,1,171140
SSBP,0,0,0,0,0,0,1,800
STBA,0,0,0,0,1,9655,4,170795
STFC,0,0,0,0,0,0,3,919446
STOK,0,0,0,0,0,0,2,29250000
STSA,0,0,0,0,0,0,1,6999998
SUP,0,0,0,0,1,97057,1,97057
SVRA,1,81100,1,81100,2,130971,4,1350946
SXC,0,0,0,0,1,50040,1,50040
SYN,0,0,0,0,1,24595,1,24595
TAP,0,0,0,0,0,0,1,44490
TAST,0,0,0,0,0,0,1,494738
TCBI,0,0,0,0,1,324900,2,574306
TDG,0,0,0,0,0,0,1,1217
TEL,0,0,0,0,1,15943,1,15943
TESS,0,0,0,0,0,0,3,744866
THO,0,0,0,0,0,0,1,0
TIPT,0,0,0,0,0,0,3,1181024
TLRS,0,0,2,66500,2,66500,2,66500
TMP,0,0,0,0,1,2500,3,15100
TNXP,0,0,0,0,0,0,1,45888
TPHS,0,0,0,0,0,0,1,40113
TREE,0,0,0,0,0,0,1,1375200
TRNS,0,0,0,0,0,0,1,135960
TRUP,0,0,0,0,1,1432773,1,1432773
TSBK,0,0,0,0,0,0,1,11710
TTI,0,0,0,0,4,147735,4,147735
TUP,0,0,0,0,3,291774,6,1471133
TWO,0,0,0,0,0,0,2,363475
TYME,0,0,0,0,0,0,1,3270
UBSI,0,0,0,0,0,0,2,167546
UFPT,0,0,0,0,1,150036,1,150036
ULBI,0,0,0,0,0,0,1,12460
UNH,0,0,0,0,0,0,1,499026
URGN,0,0,2,78900,2,78900,3,263900
USIO,0,0,0,0,0,0,3,1746095
UTL,0,0,0,0,0,0,2,55941
VABK,0,0,1,31000,5,133809,5,133809
VERU,0,0,0,0,0,0,1,49315
VICI,0,0,0,0,0,0,1,373032
VISL,0,0,0,0,1,38452,1,38452
VNCE,0,0,1,24992,1,24992,1,24992
VRCA,0,0,0,0,0,0,1,10912493
VRTV,0,0,0,0,0,0,1,197450
VTVT,0,0,0,0,0,0,3,3199000
W,0,0,0,0,0,0,1,13607944
WEC,0,0,0,0,0,0,1,81500
WEN,0,0,0,0,0,0,1,142322
WHG,0,0,0,0,1,447318,1,447318
WLFC,0,0,0,0,0,0,2,28490
WMS,0,0,0,0,0,0,2,194
WRLD,0,0,0,0,0,0,1,5291228
WSBC,0,0,0,0,0,0,2,48210
WTBA,0,0,0,0,0,0,1,10488
WVVI,0,0,0,0,0,0,1,33235
XAIR,0,0,0,0,0,0,3,416070
XOM,0,0,0,0,0,0,2,11387140
XPL,0,0,0,0,0,0,1,7750
OTC,0,0,0,0,0,0,1,6000000
YAYO,0,0,0,0,0,0,4,995398
YORW,0,0,0,0,1,600,16,82853
ZBH,0,0,0,0,1,171580,1,171580
ZTS,0,0,0,0,0,0,1,1249931
ZVO,0,0,0,0,0,0,1,4316
BRBS,0,0,0,0,0,0,1,9941
BSBK,0,0,0,0,0,0,1,10610
REYN,0,0,0,0,1,46890,1,46890
COFS,0,0,0,0,3,57288,4,109194
TBBA,0,0,0,0,0,0,1,1750
AIKI,0,0,0,0,1,29100,1,29100
OTIS,0,0,0,0,0,0,1,32755
BKGM,0,0,1,5250,1,5250,1,10500
NREF,0,0,0,0,0,0,1,107865
DCTH,0,0,1,37680,1,37680,2,336695
QLGN,0,0,0,0,2,28944,4,45706
HYMC,0,0,0,0,0,0,2,692916
AMTI,0,0,0,0,0,0,1,1050000
RPRX,0,0,0,0,0,0,1,1203480
MDWT,0,0,0,0,0,0,3,168252
DNB,0,0,0,0,0,0,2,1114538
CVLG,0,0,0,0,0,0,1,5535
AACQ,0,0,0,0,1,1008770,1,1008770
ALXO,0,0,0,0,0,0,1,1520000
RXT,0,0,3,274947,3,274947,3,274947
CMPI,0,0,0,0,0,0,1,346857
NYC,0,0,0,0,0,0,1,84116
HPK,0,0,0,0,0,0,1,1827648
HCDI,0,0,0,0,0,0,1,105000
VYNE,0,0,0,0,0,0,2,10177987
BOMH,0,0,0,0,0,0,1,936
SAII,0,0,0,0,0,0,1,110960978
PTVE,0,0,1,102200,1,102200,2,261864
TSHA,0,0,1,251760,1,251760,1,251760
HRTH,0,0,0,0,0,0,1,59728
HYLN,0,0,0,0,0,0,1,82700
KDNY,0,0,1,14440,1,14440,1,67073
SQFT,0,0,0,0,0,0,1,5816
TPGY,0,0,0,0,0,0,2,23805869
CDAK,0,0,0,0,0,0,1,99981
TTCF,0,0,0,0,0,0,1,2500000
PACE,0,0,0,0,0,0,1,9030853
AAIC,0,0,0,0,0,0,1,77170
ROOT,0,0,0,0,0,0,1,12477184
ADV,0,0,0,0,0,0,5,1133584
CRC,0,0,2,317910,2,317910,3,759750
SIOX,0,0,0,0,0,0,2,271579
GATO,0,0,0,0,0,0,1,97000
CHFW,0,0,0,0,0,0,4,0
MRVI,0,0,0,0,0,0,8,4706376
GNPK,0,0,0,0,0,0,5,13101783
QS,0,0,0,0,0,0,1,100004164
KNTE,0,0,0,0,0,0,3,50000000
SBTX,0,0,0,0,0,0,8,58455012
DASH,0,0,0,0,0,0,4,103224173
HYFM,0,0,0,0,0,0,1,89380
BCAB,0,0,0,0,0,0,2,39400020
VIRI,0,0,0,0,0,0,3,247358
GOEV,0,0,0,0,0,0,1,5000000
PRCH,0,0,0,0,0,0,1,8800
DNMR,0,0,0,0,0,0,2,98100000
BMTX,0,0,0,0,0,0,1,21424
CGEM,0,0,0,0,0,0,5,16899750
SVFA,0,0,0,0,0,0,2,25270000
VTIQ,0,0,0,0,0,0,2,0
KAVL,0,0,0,0,0,0,2,511657
AFBI,0,0,0,0,0,0,2,107694
UWMC,0,0,0,0,0,0,1,478020
XM,0,0,1,6748211,1,6748211,1,6748211
CUEN,0,0,0,0,0,0,2,313
LHDX,0,0,0,0,0,0,1,58849988
PCPL,0,0,0,0,0,0,3,38818388
VLON,0,0,0,0,0,0,1,8000
NUVB,0,0,0,0,0,0,2,4644494
VRPX,0,0,0,0,0,0,2,24478
LFMD,2,212080,2,212080,2,212080,4,517480
FORA,0,0,0,0,0,0,1,440049
VIEW,0,0,0,0,0,0,1,50000000
CFII,0,0,0,0,0,0,1,180280283
CPNG,0,0,0,0,0,0,2,1999970
CLA,0,0,0,0,0,0,1,98000
LMACA,0,0,0,0,0,0,7,12202510
OLO,0,0,0,0,0,0,5,1878750
VEI,0,0,0,0,0,0,5,284952500
FNCH,0,0,0,0,0,0,2,3249992
MOVE,0,0,0,0,0,0,5,525000
ITHX,0,0,0,0,0,0,3,0
VZIO,0,0,0,0,0,0,1,735000
SEMR,0,0,0,0,0,0,1,182000
DSGN,0,0,0,0,0,0,9,40211000
